participant_id,trial_index,time_elapsed,internal_node_id,response,item_id,item,category,questionnaire
6,3,253823,0.0-3.0,3,visual_likert,How would you describe your general VISUAL imagery vividness on a scale from 0–10?,vividness,imagery_self_rating
6,3,253823,0.0-3.0,3,verbal_likert,How would you describe your general VERBAL imagery vividness on a scale from 0–10?,vividness,imagery_self_rating
6,5,281074,0.0-5.0,Moderately realistic and vivid,vviq-1,"The exact contour of face, head, shoulders, and body",visual,vviq
6,5,281074,0.0-5.0,Dim and vague image,vviq-2,"Characteristic poses of head, attitudes of body, etc.",visual,vviq
6,5,281074,0.0-5.0,Dim and vague image,vviq-3,"The precise carriage, length of step, etc. in walking",visual,vviq
6,5,281074,0.0-5.0,Dim and vague image,vviq-4,The different colors worn in some familiar clothes,visual,vviq
6,6,292142,0.0-6.0,Moderately realistic and vivid,vviq-5,The sun is rising above the horizon into a hazy sky.,visual,vviq
6,6,292142,0.0-6.0,Dim and vague image,vviq-6,The sky clears and surrounds the sun with blueness.,visual,vviq
6,6,292142,0.0-6.0,Moderately realistic and vivid,vviq-7,"Clouds. A storm blows up, with flashes of lightening.",visual,vviq
6,6,292142,0.0-6.0,Dim and vague image,vviq-8,A rainbow appears.,visual,vviq
6,7,304309,0.0-7.0,Dim and vague image,vviq-9,The overall appearance of the shop from the opposite side of the road,visual,vviq
6,7,304309,0.0-7.0,Dim and vague image,vviq-10,"A window display including colors, shape, and details of individual items for sale",visual,vviq
6,7,304309,0.0-7.0,Dim and vague image,vviq-11,"You are near the entrance. The color, shape, and details of the door",visual,vviq
6,7,304309,0.0-7.0,Moderately realistic and vivid,vviq-12,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,visual,vviq
6,8,312788,0.0-8.0,Dim and vague image,vviq-13,The contours of the landscape,visual,vviq
6,8,312788,0.0-8.0,Dim and vague image,vviq-14,The color and shape of the trees,visual,vviq
6,8,312788,0.0-8.0,Dim and vague image,vviq-15,The color and shape of the lake,visual,vviq
6,8,312788,0.0-8.0,Dim and vague image,vviq-16,A strong wind blows on the tree and on the lake causing waves.,visual,vviq
6,10,328834,0.0-10.0-0.0,No,,,,
6,10,328834,0.0-10.0-0.0,Woman,,,,
6,10,328834,0.0-10.0-0.0,Right,,,,
6,10,328834,0.0-10.0-0.0,Yes,,,,
6,10,328834,0.0-10.0-0.0,Yes,,,,
6,10,328834,0.0-10.0-0.0,High School,,,,
6,11,331200,0.0-10.0-1.0,No,,,,
6,12,359044,0.0-10.0-2.0,21,,,,
6,12,359044,0.0-10.0-2.0,seeing factors involved in visual hallucination? There might be different experimental groups..? ,,,,
6,12,359044,0.0-10.0-2.0,Very cool!,,,,
